Project Name,Address,SAMIS Project ID,Building ID,Management name,BIN (NYC DOB),Floodplain,Tract GEOID (2020 Census),School district,School district SDL code,Latitude,Longitude,County,Total project units,Owner name,Number of bldgs in project,Building units,Date in service,Construction Type (New / Rehab),Tax Parcel Print Key,Congressional District (current),Assembly District (current),State Senate District (current),x,y
304-06 EAST 8TH STREET,"304 E 8TH ST, NEW YORK, 10009",19920667-02115,0002934,,1004704,,36061002602,NYC GEOG DIST # 1 - MANHATTAN,310100,40.72524426,-73.98029144,NEW YORK,16,304-306 EAST 8TH STREET HDFC,1,16,5/15/1995,REHAB,1-390-9,10,74,27,586114.8703553873,4508757.287861686
31 & 33 SOUTH MILLER STREET,"31 S MILLER ST, NEWBURGH, 12550",19970572-00860,0036077,ISAAC EQUITIES LLC,NA (Outside NYC),,36071000400,NEWBURGH CITY SD,441600,41.50147231,-74.0145384,ORANGE,4,"SMS ASSOCIATES II, LIMITED PART.",2,2,11/30/1998,REHAB,30.00-1-14,18,104,39,582247.9946041032,4594896.39572364
31 & 33 SOUTH MILLER STREET,"33 S MILLER ST, NEWBURGH, 12550",19970572-00860,0036078,ISAAC EQUITIES LLC,NA (Outside NYC),,36071000400,NEWBURGH CITY SD,441600,41.50153344,-74.01453501,ORANGE,4,"SMS ASSOCIATES II, LIMITED PART.",2,2,11/30/1998,REHAB,30.00-1-13,18,104,39,582248.2001846844,4594903.18567596
313-315 ELM ST.,"313-315 ELM ST, PENN YAN, 14527",19940594-01273,0052293,KEUKA HOUSING COUNCIL INC,NA (Outside NYC),,36123150400,PENN YAN CSD,680601,42.6603483,-77.05884594,YATES,5,"KEUKA HOUSING COUNCIL, INC",1,5,1/14/1996,REHAB,49.74-1-16,24,132,58,331262.46848707413,4725153.057325362
322 KEAR STREET,"322 KEAR ST, YORKTOWN, 10598",20156043-02055,0244330,,NA (Outside NYC),,36119014809,YORKTOWN CSD,662402,41.27105719,-73.78120488,WESTCHESTER,12,322 KEAR_LLC,1,12,5/10/2018,NEW,37.18-2-51,17,94,40,602082.4746519898,4569563.933017589
325 FIRST STREET PROJECT,"325 1ST ST, ALBANY, 12206",19901084-01255,0001748,WEST HILL IMPROVEMENT CORPORATION,NA (Outside NYC),,36001000700,ALBANY CITY SD,10100,42.66395041,-73.76456315,ALBANY,2,WEST HILL IMPROVEMENT CORPORATION,1,2,5/16/1996,REHAB,65.56-3-52,20,109,46,601246.1075998233,4724237.964749683
326 EAST 126TH STREET,"326 E 126TH ST, NEW YORK, 10035",20070164-01785,0168172,TAINA PINTOR,1054791,100-year,36061024200,NYC GEOG DIST # 5 - MANHATTAN,310500,40.80272294,-73.93168804,NEW YORK,14,"326 EAST 126TH STREET, L.P.",1,14,12/28/2009,NEW,1-1802-36,13,68,29,590114.7985125841,4517406.829203749
333 LENOX RD,"331-333 LENOX RD, Brooklyn, 11226",20136053-02173,0233379,FIKRET DELJANIN,3425521,,36047081800,NYC GEOG DIST #17 - BROOKLYN,331700,40.65444273,-73.9485119,KINGS,58,333 LENOX ASSOCIATES LLC,1,58,7/31/2018,NEW,3-4837-80,9,43,20,588892.759269336,4500929.521664832
35 MARCY PLACE,"35 MARCY PL, BRONX, 10452",19901394-00471,0003414,WAVECREST MANAGEMENT,2088242,,36005022101,NYC GEOG DIST # 9 - BRONX,320900,40.8385781,-73.9172232,BRONX,76,"MARCY BAER ASSOCIATES, L.P.",1,76,12/14/1992,NEW,2-2841-25,15,84,32,591285.7896114544,4521402.041748401
353 & 357 SOUTH 3RD STREET PROJECT,"355 S 3RD ST, Brooklyn, 11211",19960666-00841,0069721,LOS SURES MANAGEMENT CORP,3063199,,36047052700,NYC GEOG DIST #14 - BROOKLYN,331400,40.70944552,-73.95334686,KINGS,60,353 & 357 SOUTH 3RD ST. REDEV. ASSOC. LP,2,26,9/16/1997,REHAB,3-2424-32,7,53,18,588411.2915535257,4507030.294107777
353 & 357 SOUTH 3RD STREET PROJECT,"357 S 3RD ST, Brooklyn, 11211",19960666-00841,0069722,LOS SURES MANAGEMENT CORP,3063198,,36047052700,NYC GEOG DIST #14 - BROOKLYN,331400,40.70925991,-73.95328004,KINGS,60,353 & 357 SOUTH 3RD ST. REDEV. ASSOC. LP,2,34,9/16/1997,REHAB,3-2424-31,7,53,18,588417.1814947824,4507009.75741829
362 LENOX,"354 LENOX AVE, NEW YORK, 10027",19950293-00809,0054542,ALBERT MYERS,1053660,,36061020800,NYC GEOG DIST # 5 - MANHATTAN,310500,40.80949635,-73.94391236,NEW YORK,18,352-354 LENOX LLC,1,18,4/30/1996,REHAB,1-1725-69,13,70,30,589074.570906196,4518146.2421159
4 MUNSELL STREET HOUSING PROJECT,"4 MUNSELL ST, BINGHAMTON, 13901",19930043-01266,0041583,METRO INTERFAITH HSG. MGT. CORP.,NA (Outside NYC),,36007000500,BINGHAMTON CITY SD,30200,42.10767016,-75.90310324,BROOME,4,METRO INTERFAITH HSG. MGT. CORP.,1,4,8/17/1995,NEW,144.82-3-6,19,123,52,425333.0358547196,4662125.423363687
402 WEST FIRST STREET,"402 W 1ST ST, ELMIRA, 14901",19920590-01310,0036255,"NEAR WESTSIDE NEIGH. ASSOCIATION, INC",NA (Outside NYC),,36015000600,ELMIRA CITY SD,70600,42.08904024,-76.81488603,CHEMUNG,4,"NEAR WESTSIDE NEIGH. ASSOCIATION, INC",1,4,8/15/1995,REHAB,89.18-5-22,23,124,58,349902.58118309896,4661256.035688171
415 CLAREMONT,"415 CLAREMONT PKY, BRONX, 10457",19950423-00715,0043336,VALTISHA PARKER,2009418,,36005016700,NYC GEOG DIST # 9 - BRONX,320900,40.83975123,-73.90473789,BRONX,18,HOUSING WORKS CLAREMONT HDFC,1,18,7/31/1997,REHAB,2-2897-132,15,79,32,592336.780679236,4521545.354994027
444 RIVER LOFTS,"444 RIVER ST, TROY, 12180",20156006-02178,0244235,,NA (Outside NYC),,36083040701,TROY CITY SD,491700,42.73633771,-73.68671834,RENSSELAER,74,444 RIVER LOFTS. LLC,1,74,8/4/2020,REHAB,"101.38-1-1, 101.38-2-20, 101.38-2-21, 101.38-8-1",20,108,43,607500.7397464481,4732372.378827238
4697 THIRD AVENUE APTS,"4697 3RD AVE, BRONX, 10458",20186080-02254,0260935,,2129313,,36005038500,NYC GEOG DIST #10 - BRONX,321000,40.85873898,-73.89133398,BRONX,53,BP CYRUS LLC,1,53,4/5/2022,NEW,2-3041-38,15,78,33,593440.1462043492,4523667.392550652
5 OSAGE TRAIL APARTMENTS,"5 OSAGE TRL, OGDEN, 14559",20010881-00953,0108237,,NA (Outside NYC),,36055014903,CHURCHVILLE-CHILI CSD,261501,43.14038808,-77.85454881,MONROE,6,HERITAGE CHRISTIAN SERVICES,1,6,11/30/2001,REHAB,115.4-2-20,25,134,62,267854.4685618406,4780360.820752184
500 EAST 165TH STREET APARTMENTS,"500 E 165TH ST, BRONX, 10456",20050354-01605,0153833,LANGSAM PROPERTY SERVICES,2116712,,36005018501,NYC GEOG DIST # 9 - BRONX,320900,40.826422,-73.908421,BRONX,128,"BX THIRD AVENUE ASSOCIATES, LLC",1,128,12/7/2008,NEW,2-2369-7502,15,79,32,592044.7027429627,4520061.811899974
55 GARDEN STREET RENTAL HOUSING,"55 GARDEN ST, POUGHKEEPSIE, 12601",20090516-01912,0187379,,NA (Outside NYC),,36027220201,POUGHKEEPSIE CITY SD,131500,41.70576139,-73.92576818,DUTCHESS,5,HRH NEIGHBORHOOD HDFC INC.,1,5,9/13/2012,NEW,1313006162-69-121165-0000,18,104,39,589374.6014884005,4617665.541091084
564/630-634 EAST SECOND STREET,"564 E 2ND ST, JAMESTOWN, 14701",19960401-00719,0068748,C.O.D.E. INC.,NA (Outside NYC),,36013030500,JAMESTOWN CITY SD,61700,42.09919334,-79.23192339,CHAUTAUQUA,11,"DEXTERVILLE, L.P.",2,5,12/28/1997,REHAB,387.34-3-1,23,150,57,150034.4356563699,4669462.71296227
564/630-634 EAST SECOND STREET,"630 E 2ND ST, JAMESTOWN, 14701",19960401-00719,0068749,C.O.D.E. INC.,NA (Outside NYC),,36013030500,JAMESTOWN CITY SD,61700,42.10005044,-79.23086166,CHAUTAUQUA,11,"DEXTERVILLE, L.P.",2,6,12/28/1997,REHAB,387.34-4-8,23,150,57,150126.97442496044,4669553.5479307305
586 MORGAN AVENUE,"586 MORGAN AVE, Brooklyn, 11222",20096009-01788,0199167,,3067392,,36047059300,NYC GEOG DIST #14 - BROOKLYN,331400,40.72476803,-73.93946571,KINGS,8,"586 MORGAN AVENUE, HDFC",1,8,12/15/2011,REHAB,3-2691-71,7,50,59,589563.3192924378,4508745.263222194
60-64 ELLIOTT AVENUE,"64 ELLIOTT AVE, YONKERS, 10705",19920551-01090,0069667,,NA (Outside NYC),,36119000204,YONKERS CITY SD,662300,40.92120105,-73.89673696,WESTCHESTER,17,60-64 ELLIOT AVE. HDFC,1,17,1/8/1997,REHAB,1.00-160-39,16,89,35,592897.3539854194,4530595.577459665
620 CLOVER STREET,"600 CLOVER ST, BRIGHTON, 14610",20020676-01049,0115952,,NA (Outside NYC),,36055012500,PENFIELD CSD,261201,43.14575703,-77.53454849,MONROE,6,HERITAGE CHRISTIAN SERVICES,1,6,10/15/2003,NEW,122.12-2-49.11,25,136,56,293897.66390574863,4780119.55466006
635 EAST 11TH STREET,"635 E 11TH ST, NEW YORK, 10009",19920669-01265,0002935,,1004916,500-year,36061002800,NYC GEOG DIST # 1 - MANHATTAN,310100,40.72688685,-73.97779823,NEW YORK,11,"ST. ROMERO, HDFC",1,11,12/13/1994,REHAB,1-394-50,10,74,27,586323.3038160311,4508942.074747331
640 BROADWAY,"640 BROADWAY, Brooklyn, 11206",20086076-02049,0183991,RISEBORO MANAGEMENT CORP,3425062,,36047050700,NYC GEOG DIST #14 - BROOKLYN,331400,40.70257103,-73.94538531,KINGS,7,640 BROADWAY HDFC,1,7,4/30/2017,NEW,3-2270-10,7,53,18,589092.9806446831,4506275.224165677
645 CAULDWELL,"647 CAULDWELL AVE, BRONX, 10455",19950420-00783,0039453,SHARP MANAGEMENT,2004460,,36005007500,NYC GEOG DIST # 7 - BRONX,320700,40.816505,-73.90983878,BRONX,84,BRONX SHARP REALTY LLC,2,42,2/9/1997,REHAB,2-2624-82,15,79,29,591938.8441444796,4518959.447339673
645 CAULDWELL,"643 CAULDWELL AVE, BRONX, 10455",19950420-00783,0039454,SHARP MANAGEMENT,2004461,,36005007500,NYC GEOG DIST # 7 - BRONX,320700,40.81633292,-73.90991536,BRONX,84,BRONX SHARP REALTY LLC,2,42,1/31/1997,REHAB,2-2624-84,15,79,29,591932.6232313702,4518940.264597471
66 MAIN STREET LOFTS,"66 MAIN ST, YONKERS, 10701",20050963-01673,0201192,VALUE ASSET MANAGEMENT INC.,NA (Outside NYC),,36119000103,YONKERS CITY SD,662300,40.93442573,-73.90142589,WESTCHESTER,35,MAIN STREET LOFTS YONKERS LLC,1,35,12/27/2007,NEW,1.00-501-1,16,89,35,592484.0853320538,4532058.692859331
69 PARK STREET,"69 PARK ST, MALONE, 12953",19940361-01212,0036243,FRANKLIN COUNTY HOUSING COUNCIL,NA (Outside NYC),,36033950501,MALONE CSD,161501,44.85393568,-74.29047167,FRANKLIN,4,FRANKLIN COUNTY COMM. HSG. COUNCIL,1,4,5/15/1998,NEW,98.81-3-18,21,115,45,556063.5947910788,4966969.555014645
695 GRAND STREET PROJECT,"695 GRAND ST, Brooklyn, 11211",20126094-02071,0233139,ST. NICKS ALLIANCE,3426380,,36047049500,NYC GEOG DIST #14 - BROOKLYN,331400,40.71168017,-73.94496968,KINGS,51,695 GRAND STREET LLC,1,51,8/31/2018,NEW,3-2782-7502,7,50,18,589115.9484206053,4507286.821176614
70 BRUCKNER BOULEVARD,"70 BRUCKNER BLVD, BRONX, 10454",20096051-01800,0185893,THE WAVECREST MANAGEMENT TEAM,2116953,,36005001901,NYC GEOG DIST # 7 - BRONX,320700,40.80619835,-73.92642688,BRONX,60,"BRUCKNER BY THE BRIDGE II, LLC",1,60,6/7/2012,NEW,2-2295-67,14,84,29,590553.8737647956,4517798.050821191
700-714 WEST ONONDAGA STREET TOWNHOUSES,"700-714 W ONONDAGA ST, SYRACUSE, 13204",19920117-00672,0039732,"CHRISTOPHER COMMUNITY, INC.",NA (Outside NYC),,36067003900,SYRACUSE CITY SD,421800,43.03683767,-76.16263359,ONONDAGA,20,GREELEY APARTMENTS L.P.,2,6,8/21/1994,NEW,93.00-1-18,22,128,48,405291.8272563091,4765561.399799565
700-714 WEST ONONDAGA STREET TOWNHOUSES,"700-714 W ONONDAGA ST, SYRACUSE, 13204",19920117-00672,0039733,"CHRISTOPHER COMMUNITY, INC.",NA (Outside NYC),,36067003900,SYRACUSE CITY SD,421800,43.03683767,-76.16263359,ONONDAGA,20,GREELEY APARTMENTS L.P.,2,14,8/9/1994,NEW,93.00-1-18,22,128,48,405291.8272563091,4765561.399799565
726 OLD WHITE PLAINS ROAD,"726 OLD WHITE PLAINS RD, MAMARONECK, 10543",20030445-01531,0157595,"WASHINGTONVILLE HOUSING ALLIANCE., INC",NA (Outside NYC),100-year,36119007300,MAMARONECK UFSD,660701,40.95495127,-73.74052697,WESTCHESTER,10,"726 OWP APARTMENTS, LLC",1,10,5/31/2007,NEW,8.00-32-334,16,91,37,605996.9160574866,4534519.93480336
756/842 EAST SECOND STREET,"842 E 2ND ST, JAMESTOWN, 14701",19940545-00640,0052282,C.O.D.E. INC.,NA (Outside NYC),,36013030100,JAMESTOWN CITY SD,61700,42.10387421,-79.22614863,CHAUTAUQUA,6,SECOND STREET L.P.,2,3,9/29/1996,REHAB,370.20-6-3,23,150,57,150537.83208081045,4669958.898945789
756/842 EAST SECOND STREET,"756 E 2ND ST, JAMESTOWN, 14701",19940545-00640,0052283,C.O.D.E. INC.,NA (Outside NYC),,36013030100,JAMESTOWN CITY SD,61700,42.10159968,-79.22892464,CHAUTAUQUA,6,SECOND STREET L.P.,2,3,9/29/1996,REHAB,387.8-1-59,23,150,57,150295.71659873944,4669717.664825118
845 BROADWAY APARTMENTS,"845 BROADWAY, SCHENECTADY, 12305",20126006-01884,0223846,CAPITAL DISTRICT YMCA,NA (Outside NYC),500-year,36093021400,SCHENECTADY CITY SD,530600,42.80354208,-73.95189123,SCHENECTADY,155,DEVELOPMENT AT BROADWAY LLC,1,155,5/27/2014,REHAB,49.38-1-8.121,20,111,44,585701.6626844998,4739531.512821022
9 FRANK STREET,"9 FRANK ST, BINGHAMTON, 13905",19990045-01285,0098068,"FIRST WARD ACTION COUNCIL, INC.",NA (Outside NYC),,36007001300,BINGHAMTON CITY SD,30200,42.1028897,-75.92794605,BROOME,4,"FIRST WARD ACTION COUNCIL, INC.",1,4,2/6/2001,REHAB,160.30-1-13,19,123,52,423273.2940643844,4661616.646210155
902 JENNINGS,"902 JENNINGS ST, BRONX, 10460",20156059-02100,0244388,NEW DESTINY HOUSING CORP,2088309,,36005012300,NYC GEOG DIST #12 - BRONX,321200,40.83242628,-73.89155642,BRONX,42,902 JENNINGS STREET OWNERS LLC,1,42,10/14/2019,NEW,2-2976-79,15,79,32,593458.3609931766,4520746.1942366045
935 EASTERN PARKWAY,"935 EASTERN PKY, Brooklyn, 11213",19960622-00900,0040258,,3037272,,36047033701,NYC GEOG DIST #17 - BROOKLYN,331700,40.6695483,-73.93732054,KINGS,17,935 EASTERN PARKWAY,1,17,10/28/2000,NEW,3-1388-51,9,43,20,589818.6258392333,4502617.702454404
937 BROADWAY APARTMENTS,"937 BROADWAY, BUFFALO, 14212",20060633-01729,0157409,ERAN EPSTEIN,NA (Outside NYC),,36029001602,BUFFALO CITY SD,140600,42.89268721,-78.83983478,ERIE,43,937 BROADWAY LLC,1,43,10/29/2009,REHAB,111.44-3-2,26,141,63,186459.7230054608,4756054.527955875
965 COLUMBUS AVENUE,"965 COLUMBUS AVE, NEW YORK, 10025",19970597-00746,0038422,HERITAGE HEALTH AND HOUSING,1087335,,36061019300,NYC GEOG DIST # 3 - MANHATTAN,310300,40.80008231,-73.96201744,NEW YORK,18,"MORNINGSIDE LIFE,L.P.",1,18,9/18/1997,NEW,1-1843-3,13,69,30,587559.8657771875,4517082.964472703
986 EAST 181ST STREET APARTMENTS,"986 E 181ST ST, BRONX, 10460",20080028-01762,0169980,C & C APARTMENT MANAGEMENT LLC,2129002,,36005036100,NYC GEOG DIST #12 - BRONX,321200,40.84411658,-73.87906211,BRONX,40,EAST 181 ASSOCIATES LLC,1,40,8/17/2011,NEW,2-3133-18,15,87,32,594495.2331011259,4522057.331005029
A.D. PRICE,"488 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0006864,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001404,BUFFALO CITY SD,140600,42.88830327,-78.85430817,ERIE,55,AD PRICE I LLC,51,1,12/30/2008,NEW,111.49-4-11.1,26,141,63,185255.44554856978,4755621.723304473
A.D. PRICE,"455 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0157410,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88749357,-78.85361996,ERIE,55,AD PRICE I LLC,51,1,2/25/2009,NEW,111.58-1-54.1,26,141,63,185307.52873337653,4755529.217196413
A.D. PRICE,"457 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169323,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88754742,-78.85362049,ERIE,55,AD PRICE I LLC,51,1,2/25/2009,NEW,111.58-1-54.1,26,141,63,185307.7596275651,4755535.200021834
A.D. PRICE,"461 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169324,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88766497,-78.85362369,ERIE,55,AD PRICE I LLC,51,1,2/25/2009,NEW,111.58-1-54.1,26,141,63,185308.0967941134,4755548.267673591
A.D. PRICE,"463 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169325,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.8877195,-78.85362407,ERIE,55,AD PRICE I LLC,51,1,2/24/2009,NEW,111.58-1-54.1,26,141,63,185308.34340239834,4755554.3254616
A.D. PRICE,"477 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169326,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88811635,-78.85382816,ERIE,55,AD PRICE I LLC,51,2,3/30/2009,NEW,111.50-1-23.1,26,141,63,185293.69599937473,4755599.1656815605
A.D. PRICE,"512 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169327,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001404,BUFFALO CITY SD,140600,42.88889509,-78.8543358,ERIE,55,AD PRICE I LLC,51,1,1/2/2009,NEW,111.49-4-8,26,141,63,185256.20291760768,4755687.557169527
A.D. PRICE,"482 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169328,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001404,BUFFALO CITY SD,140600,42.88816473,-78.85432734,ERIE,55,AD PRICE I LLC,51,1,12/30/2008,NEW,111.49-4-18.1,26,141,63,185253.17442040978,4755606.408167101
A.D. PRICE,"483 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169329,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88828263,-78.85349604,ERIE,55,AD PRICE I LLC,51,2,3/30/2009,NEW,111.50-1-23.1,26,141,63,185321.6667945978,4755616.390061087
A.D. PRICE,"489 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169330,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88837342,-78.85362524,ERIE,55,AD PRICE I LLC,51,1,3/30/2009,NEW,111.50-1-28.1,26,141,63,185311.57734773948,4755626.9573593885
A.D. PRICE,"493 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169331,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.8884205,-78.85362867,ERIE,55,AD PRICE I LLC,51,1,3/30/2009,NEW,111.50-1-28.1,26,141,63,185311.53693570482,4755632.199134084
A.D. PRICE,"490 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169332,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001404,BUFFALO CITY SD,140600,42.88844707,-78.85433064,ERIE,55,AD PRICE I LLC,51,1,12/30/2008,NEW,111.49-4-11.1,26,141,63,185254.34274379007,4755637.778573051
A.D. PRICE,"495 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169333,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88852699,-78.85361275,ERIE,55,AD PRICE I LLC,51,1,11/23/2009,NEW,111.50-1-28.1,26,141,63,185313.37932045356,4755643.966823859
A.D. PRICE,"499 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169334,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88867872,-78.85363531,ERIE,55,AD PRICE I LLC,51,1,11/23/2009,NEW,111.50-1-28.1,26,141,63,185312.3094197272,4755660.903157801
A.D. PRICE,"500 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169335,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001404,BUFFALO CITY SD,140600,42.88910797,-78.85433135,ERIE,55,AD PRICE I LLC,51,1,1/29/2009,NEW,111.49-4-11.1,26,141,63,185257.65046269295,4755711.183991264
A.D. PRICE,"502 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169336,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001404,BUFFALO CITY SD,140600,42.88865737,-78.85432994,ERIE,55,AD PRICE I LLC,51,1,1/2/2009,NEW,111.49-4-11.1,26,141,63,185255.47088275081,4755661.132889215
A.D. PRICE,"503 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169337,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88893388,-78.85362713,ERIE,55,AD PRICE I LLC,51,1,4/29/2009,NEW,111.50-1-33.1,26,141,63,185314.27666515828,4755689.211837008
A.D. PRICE,"566 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169338,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89036253,-78.8543207,ERIE,55,AD PRICE I LLC,51,1,12/29/2008,NEW,111.41-5-15.1,26,141,63,185264.90931191598,4755850.48164099
A.D. PRICE,"568 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169339,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89042387,-78.85432543,ERIE,55,AD PRICE I LLC,51,1,12/29/2008,NEW,111.41-5-15.1,26,141,63,185264.83541718277,4755857.312072567
A.D. PRICE,"505 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169340,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88878347,-78.85361151,ERIE,55,AD PRICE I LLC,51,1,4/29/2009,NEW,111.50-1-33.1,26,141,63,185314.78649454232,4755672.448091925
A.D. PRICE,"509 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169341,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88890893,-78.85362849,ERIE,55,AD PRICE I LLC,51,2,7/29/2009,NEW,111.50-1-33.1,26,141,63,185314.0385579908,4755686.445861036
A.D. PRICE,"513 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169342,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88901835,-78.85364681,ERIE,55,AD PRICE I LLC,51,2,4/29/2009,NEW,111.50-1-33.1,26,141,63,185313.0995213809,4755698.667167551
A.D. PRICE,"514 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169343,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001404,BUFFALO CITY SD,140600,42.88916142,-78.85433276,ERIE,55,AD PRICE I LLC,51,1,1/29/2009,NEW,111.49-4-8,26,141,63,185257.80751184904,4755717.1256877845
A.D. PRICE,"517 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169344,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88913608,-78.85361414,ERIE,55,AD PRICE I LLC,51,1,4/29/2009,NEW,111.50-1-33.1,26,141,63,185316.3670803525,4755711.620513799
A.D. PRICE,"519 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0169345,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88918011,-78.85361356,ERIE,55,AD PRICE I LLC,51,1,4/29/2009,NEW,111.50-1-33.1,26,141,63,185316.63863528916,4755716.508527483
A.D. PRICE,"480 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0183403,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001404,BUFFALO CITY SD,140600,42.88820592,-78.85432316,ERIE,55,AD PRICE I LLC,51,1,12/30/2008,NEW,111.49-4-18.1,26,141,63,185253.72556182474,4755610.967275092
A.D. PRICE,"282 MADISON ST, BUFFALO, 14212",20060075-01716,0195262,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.8883535,-78.85315433,ERIE,55,AD PRICE I LLC,51,1,7/29/2009,NEW,111.50-1-14.1,26,141,63,185349.93492152507,4755622.981950504
A.D. PRICE,"288 MADISON ST, BUFFALO, 14212",20060075-01716,0195263,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88838781,-78.85315204,ERIE,55,AD PRICE I LLC,51,1,7/29/2009,NEW,111.50-1-14.1,26,141,63,185350.29661712173,4755626.78401218
A.D. PRICE,"292 MADISON ST, BUFFALO, 14212",20060075-01716,0195264,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88842204,-78.8531455,ERIE,55,AD PRICE I LLC,51,1,7/29/2009,NEW,111.50-1-14.1,26,141,63,185351.005000455,4755630.561278501
A.D. PRICE,"574 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0195312,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89058265,-78.85433232,ERIE,55,AD PRICE I LLC,51,1,12/29/2008,NEW,111.41-5-15.1,26,141,63,185265.08136372495,4755874.972753691
A.D. PRICE,"576 JEFFERSON AVE, BUFFALO, 14204",20060075-01716,0195313,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89062467,-78.85433191,ERIE,55,AD PRICE I LLC,51,1,12/29/2008,NEW,111.41-5-15.1,26,141,63,185265.3288457939,4755879.638164167
